,count,precinct,DemVotes,RepVotes,LibVotes
0,0,101,3090,478,39
1,1,102,585,108,2
2,2,103,725,249,13
3,3,104,582,214,16
4,4,105,4136,1098,66
5,5,106,1283,918,27
6,6,107,105,149,4
7,7,108,839,138,14
8,8,109,1141,361,18
9,9,110,3083,1217,60
10,10,111,2243,637,31
11,11,112,756,170,6
12,12,113,3351,870,51
13,13,114,107,53,0
14,14,115,0,0,0
15,15,116,0,0,0
16,16,117,1553,125,18
17,17,118,339,30,0
18,18,119,0,0,0
19,19,120,59,29,1
20,20,121,579,46,5
21,21,122,1740,84,8
22,22,123,2746,1337,59
23,23,124,3233,218,30
24,24,125,0,0,0
25,25,126,3556,190,24
26,26,127,1,0,0
27,27,128,0,0,0
28,28,129,1630,86,9
29,29,130,1289,110,12
30,30,131,1,0,0
31,31,132,1765,125,16
32,32,133,1518,158,15
33,33,134,0,0,0
34,34,135,5205,541,50
35,35,136,1229,761,26
36,36,137,4195,2637,96
37,37,138,0,0,0
38,38,139,1704,290,27
39,39,140,980,169,11
40,40,141,255,44,1
41,41,142,700,56,8
42,42,145,1214,429,20
43,43,146,1233,683,29
44,44,148,1951,743,29
45,45,149,1319,106,16
46,46,150,807,653,21
47,47,151,1499,154,14
48,48,152,2809,132,16
49,49,153,2727,630,34
50,50,154,1799,481,33
51,51,156,3391,420,36
52,52,160,875,371,11
53,53,161,742,377,13
54,54,163,81,137,4
55,55,164,861,143,10
56,56,200,3868,330,43
57,57,202,2453,270,21
58,58,203,508,165,3
59,59,205,1432,319,21
60,60,206,1103,166,17
61,61,207,2595,846,42
62,62,208,4390,514,32
63,63,209,503,92,7
64,64,210,968,361,14
65,65,211,959,259,16
66,66,212,1704,1499,26
67,67,213,0,0,0
68,68,214,1466,617,16
69,69,215,1147,395,11
70,70,216,1062,258,8
71,71,217,1199,244,20
72,72,218,3344,768,48
73,73,219,1336,545,23
74,74,220,984,431,17
75,75,221,416,316,11
76,76,222,1444,355,26
77,77,223,303,66,4
78,78,224,92,10,2
79,79,225,2058,595,27
80,80,226,1107,250,9
81,81,227,379,129,4
82,82,228,1060,400,17
83,83,229,1023,335,31
84,84,231,1550,670,21
85,85,232,2444,2470,46
86,86,233,1677,1108,23
87,87,234,880,829,18
88,88,235,2272,230,26
89,89,236,2232,313,34
90,90,237,1248,476,11
91,91,238,1724,463,38
92,92,239,1673,321,25
93,93,240,659,175,18
94,94,241,1403,200,20
95,95,242,4172,528,62
96,96,243,1252,281,27
97,97,244,1652,1148,37
98,98,245,487,351,9
99,99,246,1064,376,13
100,100,247,371,237,10
101,101,248,1569,294,16
102,102,249,1745,590,29
103,103,250,3386,642,38
104,104,251,1929,553,26
105,105,252,1632,405,29
106,106,253,1566,791,22
107,107,254,1686,563,28
108,108,256,1025,604,19
109,109,258,1320,456,26
110,110,259,1603,507,34
111,111,260,603,116,9
112,112,262,2671,812,38
113,113,263,1726,471,25
114,114,266,251,166,2
115,115,267,812,286,8
116,116,268,663,154,12
117,117,273,2024,380,28
118,118,274,2009,203,13
119,119,275,2547,196,23
120,120,277,4921,869,31
121,121,301,751,220,7
122,122,302,1665,954,33
123,123,303,1377,903,23
124,124,304,2119,1010,27
125,125,305,5,5,0
126,126,306,1075,1416,26
127,127,307,715,389,11
128,128,308,1888,2933,43
129,129,309,1379,513,28
130,130,310,2708,1116,43
131,131,311,3738,496,31
132,132,312,763,785,22
133,133,313,318,38,1
134,134,314,2200,1875,56
135,135,315,2036,993,21
136,136,316,1519,1590,37
137,137,317,1323,788,27
138,138,318,441,213,7
139,139,319,806,1007,14
140,140,320,683,859,13
141,141,321,378,191,2
142,142,323,1174,232,15
143,143,324,2229,2303,53
144,144,325,63,27,1
145,145,326,1104,456,15
146,146,327,1465,788,33
147,147,328,2017,717,44
148,148,329,2479,845,47
149,149,330,1204,1042,30
150,150,331,1365,598,26
151,151,332,2025,206,21
152,152,333,1369,707,31
153,153,334,1246,901,16
154,154,335,1146,546,26
155,155,336,1065,544,30
156,156,337,2076,932,44
157,157,338,2400,1418,34
158,158,339,1012,320,13
159,159,340,2320,387,34
160,160,341,199,76,3
161,161,342,3255,463,41
162,162,343,1211,473,19
163,163,344,1098,247,17
164,164,345,0,0,0
165,165,346,1490,2361,34
166,166,347,1310,721,23
167,167,349,2624,1069,47
168,168,350,2355,639,42
169,169,351,945,230,14
170,170,352,2063,424,26
171,171,354,2267,1083,37
172,172,356,1169,250,23
173,173,357,303,179,6
174,174,358,2705,659,29
175,175,359,1994,1724,39
176,176,360,2273,788,38
177,177,361,568,393,9
178,178,362,1641,553,18
179,179,363,818,380,14
180,180,364,1735,1045,22
181,181,365,1114,668,13
182,182,366,2576,1033,36
183,183,367,3183,1525,50
184,184,368,135,167,3
185,185,369,1412,1766,30
186,186,370,408,566,20
187,187,371,790,1216,26
188,188,372,561,693,19
189,189,373,1317,2435,38
190,190,374,2317,2086,50
191,191,375,303,378,10
192,192,401,1161,367,13
193,193,402,1474,378,18
194,194,403,502,269,9
195,195,404,2188,387,27
196,196,405,468,107,5
197,197,406,1410,832,18
198,198,407,1428,219,15
199,199,408,1865,512,25
200,200,409,1368,152,22
201,201,410,1934,261,34
202,202,411,1171,253,18
203,203,412,70,12,0
204,204,413,943,148,10
205,205,414,2056,584,33
206,206,415,712,164,18
207,207,416,270,62,6
208,208,417,1166,237,14
209,209,418,1,4,0
210,210,419,267,90,3
211,211,420,1751,170,22
212,212,421,1853,216,16
213,213,422,1524,143,10
214,214,423,1818,202,13
215,215,424,1659,200,21
216,216,425,404,83,6
217,217,426,1766,147,12
218,218,427,1544,117,17
219,219,428,888,295,12
220,220,429,4920,425,41
221,221,430,905,64,12
222,222,431,3507,284,32
223,223,432,1,0,0
224,224,433,2022,165,14
225,225,434,1,0,0
226,226,435,3187,799,43
227,227,436,223,9,1
228,228,437,1620,158,18
229,229,438,906,85,2
230,230,439,2354,152,19
231,231,440,768,113,12
232,232,441,2343,334,31
233,233,442,948,102,9
234,234,443,1674,232,22
235,235,444,105,6,2
236,236,446,666,88,9
237,237,447,2222,358,30
238,238,448,1339,203,15
239,239,450,2144,326,28
240,240,451,1840,315,23
241,241,452,1022,126,6
242,242,454,1166,284,15
243,243,458,2130,463,25
244,244,460,2092,324,21
245,245,461,3267,386,39
246,246,463,1992,389,28
